Date,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TCS.NS,TECHM.NS,WIPRO.NS
2020-01-01,745.5869140625,935.2149658203125,413.5322265625,433.31646728515625,157.65011596679688,2715.6220703125,449.4202575683594,116.76142883300781,1751.2855224609375,554.48828125,450.6943664550781,595.67724609375,609.907958984375,1732.3114013671875,519.1380004882812,1431.07666015625,619.7402954101562,168.796630859375,333.4170837402344,1180.6746826171875,6945.33544921875,690.580810546875,94.73125457763672,85.37139129638672,76.6842041015625,672.2161865234375,964.6342163085938,303.1385192871094,406.073974609375,306.7143859863281,1841.149658203125,602.617431640625,113.70919799804688
2020-01-02,753.8026123046875,947.8943481445312,414.9737548828125,435.1327209472656,156.3353729248047,2727.906494140625,447.15380859375,116.2931900024414,1758.0736083984375,551.6959838867188,451.9549865722656,599.47412109375,622.4701538085938,1733.6529541015625,522.861572265625,1474.173828125,617.9320678710938,170.0372772216797,332.91912841796875,1212.5361328125,6962.5751953125,688.258544921875,94.61434173583984,85.7732925415039,76.52731323242188,683.6602783203125,957.6690673828125,307.534423828125,406.68182373046875,306.2408142089844,1832.6981201171875,605.7408447265625,113.98462677001953
2020-01-03,739.8607788085938,931.964111328125,409.8330383300781,435.037109375,155.03675842285156,2714.86328125,443.8013610839844,116.70634460449219,1766.64306640625,555.3548583984375,461.0170593261719,590.9252319335938,618.986083984375,1724.1707763671875,521.1690063476562,1474.0291748046875,627.4360961914062,169.08021545410156,330.0411682128906,1203.2977294921875,6890.763671875,681.915283203125,93.01665496826172,86.04122924804688,75.7035903930664,684.4840698242188,963.3497924804688,302.4587097167969,415.7045593261719,301.3633117675781,1869.22216796875,612.8970947265625,115.2699966430664
2020-01-06,720.2427978515625,901.734130859375,390.60430908203125,429.827392578125,150.43533325195312,2699.8984375,440.7793884277344,113.31836700439453,1770.0611572265625,554.3824462890625,458.61358642578125,578.1366577148438,608.0431518554688,1713.4364013671875,508.4505615234375,1416.7110595703125,621.4224853515625,166.66983032226562,329.1349792480469,1186.8035888671875,6689.5283203125,673.64697265625,92.66594696044922,84.56757354736328,75.74281311035156,668.6093139648438,971.2534790039062,289.1349182128906,411.35687255859375,295.5860900878906,1869.0521240234375,609.1806030273438,115.75200653076172
2020-01-07,722.7323608398438,907.0143432617188,391.67449951171875,425.47796630859375,147.82200622558594,2712.8974609375,442.5264892578125,113.31836700439453,1775.405029296875,555.4127197265625,460.3866882324219,587.2913208007812,618.2501220703125,1718.1326904296875,505.74237060546875,1409.2386474609375,612.212890625,166.84706115722656,332.7797546386719,1190.1834716796875,6719.1650390625,667.763916015625,93.9518814086914,84.2326431274414,75.19368743896484,678.8956298828125,973.03173828125,288.591064453125,417.3875732421875,298.2379150390625,1873.638916015625,614.4784545898438,117.15213012695312
2020-01-08,721.487548828125,911.9852905273438,395.80853271484375,438.6217956542969,147.46926879882812,2701.283447265625,438.89068603515625,110.2884750366211,1765.8245849609375,557.9257202148438,461.568603515625,585.7540283203125,617.17041015625,1725.8704833984375,508.6922302246094,1406.29833984375,604.0543823242188,166.0317840576172,329.5930480957031,1164.0904541015625,6682.689453125,672.4600219726562,93.48426818847656,82.69202423095703,74.74258422851562,673.7969970703125,975.847412109375,289.8599853515625,411.4970397949219,299.5164794921875,1915.5989990234375,608.7061157226562,116.968505859375
2020-01-09,739.7611694335938,936.8903198242188,403.0651550292969,439.8166809082031,150.88427734375,2681.181640625,443.9430236816406,109.07649230957031,1774.923583984375,562.4029541015625,457.27398681640625,592.3228759765625,619.771240234375,1730.9696044921875,528.3745727539062,1453.5894775390625,611.9183959960938,167.16607666015625,331.6245422363281,1186.2628173828125,6865.73486328125,684.24462890625,93.01665496826172,82.85948181152344,75.6839828491211,689.3155517578125,976.5883178710938,299.286376953125,411.2632751464844,311.1656494140625,1880.859130859375,611.7505493164062,116.44058990478516
2020-01-10,736.972900390625,934.5966796875,405.0832824707031,436.8533630371094,150.7880859375,2671.041748046875,447.15380859375,113.09803771972656,1796.972900390625,564.8101196289062,457.3133544921875,597.5872802734375,611.5272827148438,1747.9207763671875,522.5231323242188,1437.7774658203125,620.8336791992188,168.72572326660156,335.5382080078125,1193.87890625,6963.193359375,686.2257690429688,93.75704193115234,83.16090393066406,75.37020874023438,689.1596069335938,977.0823364257812,301.1444091796875,414.7695617675781,323.2884216308594,1880.1796875,613.806396484375,115.56837463378906
2020-01-13,734.3339233398438,942.87353515625,407.0036926269531,448.2287292480469,150.94839477539062,2720.4912109375,451.07293701171875,116.54109954833984,1809.0567626953125,568.9888916015625,462.1595153808594,599.1246948242188,613.7846069335938,1784.462646484375,520.9271240234375,1484.4420166015625,650.6074829101562,169.6118927001953,336.8128967285156,1202.98193359375,6984.28076171875,684.9361572265625,94.88712310791016,84.03168487548828,76.40965270996094,687.4006958007812,977.9220581054688,299.7848815917969,415.7045593261719,334.2746276855469,1860.4732666015625,621.3973999023438,116.968505859375
2020-01-14,744.790283203125,952.8054809570312,409.7890319824219,448.65887451171875,151.78208923339844,2774.139892578125,457.3056335449219,117.31232452392578,1804.0496826171875,567.6602172851562,468.305908203125,600.7552490234375,602.8416748046875,1796.941162109375,519.9600219726562,1428.521484375,652.3735961914062,172.44761657714844,333.9647521972656,1195.2308349609375,7016.67138671875,694.76513671875,96.25099182128906,83.76377868652344,76.5861587524414,681.0330200195312,975.8967895507812,297.2923583984375,417.0136413574219,368.9853515625,1874.5308837890625,629.6209716796875,118.07026672363281
